,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
27/08/2016,8298,31494,28076,7689,8771,944,3609,364,1407
28/08/2016,2401,6036,7318,7189,20793,5788,485,135,4608
29/08/2016,1953,2633,17359,16456,45879,13766,1335,701,5531
30/08/2016,2673,10388,18799,13795,25782,6203,1728,629,1221
31/08/2016,5218,16822,16894,6093,17534,1156,630,151,1936
01/09/2016,7008,17011,23406,8925,18413,2021,1787,356,2511
02/09/2016,4227,12365,17979,10477,26242,3343,1608,364,2289
03/09/2016,1530,6509,16571,12295,23232,4792,933,375,1142
04/09/2016,1976,14582,10986,3323,9968,2086,1282,170,1055
05/09/2016,3953,8555,7458,5494,6826,3789,406,125,782
06/09/2016,2841,15373,25704,6532,23067,2003,1321,127,4846
07/09/2016,8245,32216,23512,9237,11028,1552,3168,780,1046
08/09/2016,3025,11184,4204,2690,10830,1905,1115,78,459
09/09/2016,3995,13796,8993,3562,9371,2042,30,64,147
10/09/2016,652,4103,11328,1926,18583,2108,503,7,119
11/09/2016,3984,20269,23296,9207,22398,3392,591,127,528
12/09/2016,7554,10542,5817,1953,10224,3316,939,47,844
13/09/2016,610,2824,3606,3565,13567,3754,605,45,544
14/09/2016,3372,9611,1922,1672,13255,4368,355,37,272
15/09/2016,3875,7762,3603,1174,12586,2483,676,30,923
16/09/2016,1426,6467,11554,8720,19520,7608,1399,120,2152
17/09/2016,2529,4145,4946,9903,15190,11295,261,102,877
18/09/2016,1603,2304,655,6378,6606,7130,187,46,235
19/09/2016,697,2512,1495,2143,1273,1529,313,40,1213
20/09/2016,298,2875,3102,4512,2852,1585,888,81,2176
21/09/2016,71,431,945,2281,2912,1432,768,210,1255
22/09/2016,242,1048,749,450,7433,1249,878,112,971
23/09/2016,325,3352,5589,4904,16379,2196,1148,75,1153
24/09/2016,586,4109,9073,7279,13813,1974,557,10,217
25/09/2016,2424,9044,14128,6755,29346,5039,607,16,627
26/09/2016,1623,10270,9065,6878,5141,1748,275,57,454
27/09/2016,2786,15868,11792,5541,24287,1410,164,101,5998
28/09/2016,7972,27736,33767,25310,60431,16489,2823,650,5422
29/09/2016,5287,22859,36472,25702,65854,15516,2694,826,7536
30/09/2016,9139,32668,40149,24948,44732,12731,4599,1153,2952
01/10/2016,8514,31672,18086,8575,8033,2888,3372,635,1882
02/10/2016,6943,17844,10772,5564,11209,988,327,123,2076
03/10/2016,4531,11733,15146,18487,33935,7420,1511,422,5683
04/10/2016,2545,5787,19926,17315,25324,10534,3912,784,7494
05/10/2016,5628,8123,23281,22819,35195,11920,4648,1136,6179
06/10/2016,3757,12898,29232,26369,42491,13624,3826,878,2580
07/10/2016,1033,11164,28925,18800,32362,9724,4006,613,2357
08/10/2016,816,13966,28096,18554,30755,9061,3996,477,2814
09/10/2016,536,11242,29146,16341,29980,3422,2877,323,2966
10/10/2016,492,3223,26593,16837,28843,5571,2977,399,4330
11/10/2016,445,759,14252,17772,37702,14202,734,334,3730
12/10/2016,1303,1032,6744,14772,33893,10808,111,205,2169
13/10/2016,728,248,4927,14948,36608,10498,125,101,1624
14/10/2016,256,1052,14294,22830,58236,15729,70,131,5748
15/10/2016,4176,8212,26226,29325,62062,14901,442,529,5263
16/10/2016,2561,13734,17569,16976,29166,3622,265,366,5253
17/10/2016,1925,14578,11389,12399,31428,5423,655,440,4362
18/10/2016,4747,14555,5705,3102,17403,2442,1331,301,3529
19/10/2016,1793,3628,8086,7640,20151,2551,1313,282,4280
20/10/2016,49,3322,17323,10539,29947,4139,1323,299,6079
21/10/2016,595,5175,24181,19397,41787,5521,1692,474,6519
22/10/2016,1547,8054,31949,18251,40698,3685,3056,662,3645
23/10/2016,1715,9392,26594,7413,23042,1211,3062,512,5972
24/10/2016,2609,5328,15851,7243,11851,1465,1904,522,1217
25/10/2016,1082,924,5225,4624,3577,783,953,57,1309
26/10/2016,915,3364,15183,5269,21081,2003,656,95,3708
27/10/2016,4572,13625,28018,13760,31677,7394,3471,764,8621
28/10/2016,3835,20635,35021,29361,60679,16968,4447,1152,7424
29/10/2016,196,1364,1542,1285,53800,17305,4074,891,497
30/10/2016,,,,,1310,570,340,66,
